Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1463419302,2016-05-16T17:21:42Z,GWI2756,"48.69389,9.2431",0,0,253
1463419372,2016-05-16T17:22:52Z,GWI2756,"48.68801,9.21189",1400,157,257
1463419382,2016-05-16T17:23:02Z,GWI2756,"48.68619,9.20177",1900,153,257
1463419397,2016-05-16T17:23:17Z,GWI2756,"48.6834,9.18584",2550,158,256
1463419407,2016-05-16T17:23:27Z,GWI2756,"48.68116,9.17474",2850,168,253
1463419417,2016-05-16T17:23:37Z,GWI2756,"48.67879,9.16267",3200,180,253
1463419432,2016-05-16T17:23:52Z,GWI2756,"48.67511,9.14344",3700,196,254
1463419442,2016-05-16T17:24:02Z,GWI2756,"48.6726,9.12957",4250,198,255
1463419452,2016-05-16T17:24:12Z,GWI2756,"48.6699,9.11706",4675,202,254
1463419462,2016-05-16T17:24:22Z,GWI2756,"48.66617,9.10376",5200,210,238
1463419472,2016-05-16T17:24:32Z,GWI2756,"48.65904,9.09126",5775,212,219
1463419482,2016-05-16T17:24:42Z,GWI2756,"48.65128,9.08454",6275,223,200
1463419492,2016-05-16T17:24:52Z,GWI2756,"48.64082,9.08126",6875,228,181
1463419512,2016-05-16T17:25:12Z,GWI2756,"48.62046,9.09032",7825,238,144
1463419527,2016-05-16T17:25:27Z,GWI2756,"48.60997,9.11076",8525,255,108
1463419537,2016-05-16T17:25:37Z,GWI2756,"48.60828,9.1295",9125,251,85
1463419547,2016-05-16T17:25:47Z,GWI2756,"48.6098,9.14431",9600,246,78
1463419557,2016-05-16T17:25:57Z,GWI2756,"48.61295,9.16225",10050,255,75
1463419577,2016-05-16T17:26:17Z,GWI2756,"48.6162,9.19992",10600,283,87
1463419597,2016-05-16T17:26:37Z,GWI2756,"48.6178,9.24091",11125,311,84
1463419607,2016-05-16T17:26:47Z,GWI2756,"48.62037,9.26314",11350,322,75
1463419614,2016-05-16T17:26:54Z,GWI2756,"48.62325,9.27648",11475,328,69
1463419622,2016-05-16T17:27:02Z,GWI2756,"48.62837,9.29457",11700,336,67
1463419638,2016-05-16T17:27:18Z,GWI2756,"48.63866,9.33007",12075,356,66
1463419672,2016-05-16T17:27:52Z,GWI2756,"48.66252,9.41324",12825,396,66
1463419707,2016-05-16T17:28:27Z,GWI2756,"48.68816,9.50437",13900,420,67
1463419743,2016-05-16T17:29:03Z,GWI2756,"48.71366,9.59468",15475,420,67
1463419775,2016-05-16T17:29:35Z,GWI2756,"48.74192,9.69551",17075,424,67
1463419813,2016-05-16T17:30:13Z,GWI2756,"48.7604,9.7619",17925,427,67
1463419837,2016-05-16T17:30:37Z,GWI2756,"48.78079,9.86796",19375,438,85
1463419847,2016-05-16T17:30:47Z,GWI2756,"48.77976,9.89897",19725,445,99
1463419857,2016-05-16T17:30:57Z,GWI2756,"48.7746,9.93034",20025,451,107
1463419867,2016-05-16T17:31:07Z,GWI2756,"48.76785,9.96101",20350,451,107
1463419941,2016-05-16T17:32:21Z,GWI2756,"48.72101,10.18772",23300,450,107
1463420002,2016-05-16T17:33:22Z,GWI2756,"48.68596,10.35349",26100,432,107
1463420025,2016-05-16T17:33:45Z,GWI2756,"48.67511,10.4275",27350,417,97
1463420095,2016-05-16T17:34:55Z,GWI2756,"48.6571,10.63852",28900,440,97
1463420157,2016-05-16T17:35:57Z,GWI2756,"48.64014,10.83442",29600,468,97
1463420220,2016-05-16T17:37:00Z,GWI2756,"48.62186,11.04133",30550,483,97
1463420282,2016-05-16T17:38:02Z,GWI2756,"48.6048,11.23049",31950,107,98
1463420346,2016-05-16T17:39:06Z,GWI2756,"48.58448,11.45144",33325,486,98
1463420408,2016-05-16T17:40:08Z,GWI2756,"48.56204,11.65706",34925,477,103
1463420475,2016-05-16T17:41:15Z,GWI2756,"48.52866,11.88345",35025,477,102
1463420538,2016-05-16T17:42:18Z,GWI2756,"48.49677,12.09074",35000,482,102
1463420605,2016-05-16T17:43:25Z,GWI2756,"48.46344,12.30331",35000,486,103
1463420666,2016-05-16T17:44:26Z,GWI2756,"48.43053,12.51046",35000,487,103
1463420728,2016-05-16T17:45:28Z,GWI2756,"48.39697,12.71899",35000,491,103
1463420791,2016-05-16T17:46:31Z,GWI2756,"48.36433,12.91905",35025,492,103
1463420863,2016-05-16T17:47:43Z,GWI2756,"48.32579,13.15324",35000,493,103
1463420927,2016-05-16T17:48:47Z,GWI2756,"48.28862,13.37571",35000,492,104
1463420991,2016-05-16T17:49:51Z,GWI2756,"48.25363,13.58286",35000,493,104
1463421054,2016-05-16T17:50:54Z,GWI2756,"48.2168,13.79738",34700,492,104
1463421126,2016-05-16T17:52:06Z,GWI2756,"48.17683,14.02743",33575,493,104
1463421189,2016-05-16T17:53:09Z,GWI2756,"48.13976,14.23906",32525,496,104
1463421250,2016-05-16T17:54:10Z,GWI2756,"48.10392,14.44209",31500,493,105
1463421313,2016-05-16T17:55:13Z,GWI2756,"48.06628,14.65068",29275,496,105
1463421380,2016-05-16T17:56:20Z,GWI2756,"48.02838,14.85976",26550,480,105
1463421445,2016-05-16T17:57:25Z,GWI2756,"47.99071,15.065",23250,457,105
1463421510,2016-05-16T17:58:30Z,GWI2756,"47.95477,15.25809",20000,441,105
1463421549,2016-05-16T17:59:09Z,GWI2756,"47.9388,15.37495",18025,429,93
1463421559,2016-05-16T17:59:19Z,GWI2756,"47.93747,15.40551",17550,426,93
1463421596,2016-05-16T17:59:56Z,GWI2756,"47.9328,15.50123",17000,404,94
1463421635,2016-05-16T18:00:35Z,GWI2756,"47.92767,15.60354",16925,369,94
1463421672,2016-05-16T18:01:12Z,GWI2756,"47.9225,15.70474",16275,373,93
1463421710,2016-05-16T18:01:50Z,GWI2756,"47.91752,15.80116",15625,373,94
1463421744,2016-05-16T18:02:24Z,GWI2756,"47.91277,15.88975",15075,371,94
1463421780,2016-05-16T18:03:00Z,GWI2756,"47.90804,15.97838",14500,359,94
1463421814,2016-05-16T18:03:34Z,GWI2756,"47.90355,16.0627",13925,352,94
1463421845,2016-05-16T18:04:05Z,GWI2756,"47.89983,16.13251",13450,350,94
1463421878,2016-05-16T18:04:38Z,GWI2756,"47.89546,16.21026",12900,349,93
1463421913,2016-05-16T18:05:13Z,GWI2756,"47.89043,16.29977",11375,354,93
1463421928,2016-05-16T18:05:28Z,GWI2756,"47.88785,16.33344",10675,359,100
1463421934,2016-05-16T18:05:34Z,GWI2756,"47.88533,16.34985",10325,360,103
1463421943,2016-05-16T18:05:43Z,GWI2756,"47.88057,16.37272",9850,363,108
1463421953,2016-05-16T18:05:53Z,GWI2756,"47.87586,16.39407",9400,363,108
1463421964,2016-05-16T18:06:04Z,GWI2756,"47.8705,16.41857",8950,355,106
1463421975,2016-05-16T18:06:15Z,GWI2756,"47.86496,16.44386",8475,345,106
1463421990,2016-05-16T18:06:30Z,GWI2756,"47.85754,16.47784",7750,338,108
1463422005,2016-05-16T18:06:45Z,GWI2756,"47.85017,16.51087",6975,331,108
1463422018,2016-05-16T18:06:58Z,GWI2756,"47.8439,16.53909",6300,325,108
1463422029,2016-05-16T18:07:09Z,GWI2756,"47.83857,16.56224",5750,322,109
1463422045,2016-05-16T18:07:25Z,GWI2756,"47.83269,16.591",5350,310,100
1463422051,2016-05-16T18:07:31Z,GWI2756,"47.83196,16.60717",5200,299,89
1463422059,2016-05-16T18:07:39Z,GWI2756,"47.83342,16.62417",5000,286,80
1463422069,2016-05-16T18:07:49Z,GWI2756,"47.8361,16.64288",4725,281,79
1463422079,2016-05-16T18:07:59Z,GWI2756,"47.84066,16.66239",4425,275,61
1463422085,2016-05-16T18:08:05Z,GWI2756,"47.84201,16.66556",4375,272,56
1463422095,2016-05-16T18:08:15Z,GWI2756,"47.85242,16.67903",4200,271,54
1463422105,2016-05-16T18:08:25Z,GWI2756,"47.8651,16.68267",4075,251,17
1463422125,2016-05-16T18:08:45Z,GWI2756,"47.88726,16.67563",3550,234,346
1463422139,2016-05-16T18:08:59Z,GWI2756,"47.89691,16.67189",3300,234,346
1463422145,2016-05-16T18:09:05Z,GWI2756,"47.90703,16.66777",3050,234,346
1463422153,2016-05-16T18:09:13Z,GWI2756,"47.91715,16.66351",2925,230,345
1463422159,2016-05-16T18:09:19Z,GWI2756,"47.92255,16.66132",2900,223,345
1463422169,2016-05-16T18:09:29Z,GWI2756,"47.932,16.65739",2900,212,345
1463422180,2016-05-16T18:09:40Z,GWI2756,"47.94182,16.65323",2900,200,345
1463422190,2016-05-16T18:09:50Z,GWI2756,"47.94969,16.64992",2900,189,345
1463422199,2016-05-16T18:09:59Z,GWI2756,"47.95857,16.64621",2900,177,345
1463422205,2016-05-16T18:10:05Z,GWI2756,"47.96265,16.64442",2925,175,344
1463422215,2016-05-16T18:10:15Z,GWI2756,"47.97041,16.64119",2875,169,345
1463422224,2016-05-16T18:10:24Z,GWI2756,"47.97688,16.63844",2775,163,345
1463422234,2016-05-16T18:10:34Z,GWI2756,"47.98421,16.63536",2625,160,345
1463422244,2016-05-16T18:10:44Z,GWI2756,"47.99075,16.63261",2500,159,344
1463422254,2016-05-16T18:10:54Z,GWI2756,"47.9982,16.6295",2350,157,345
1463422264,2016-05-16T18:11:04Z,GWI2756,"48.00513,16.62654",2200,155,345
1463422274,2016-05-16T18:11:14Z,GWI2756,"48.01186,16.62376",2050,152,345
1463422291,2016-05-16T18:11:31Z,GWI2756,"48.02301,16.61901",1850,139,344
1463422301,2016-05-16T18:11:41Z,GWI2756,"48.02911,16.61648",1725,132,344
1463422311,2016-05-16T18:11:51Z,GWI2756,"48.03287,16.6149",1625,130,343
1463422319,2016-05-16T18:11:59Z,GWI2756,"48.03921,16.61217",1525,122,344
1463422330,2016-05-16T18:12:10Z,GWI2756,"48.04289,16.61062",1450,128,344
1463422342,2016-05-16T18:12:22Z,GWI2756,"48.04875,16.60816",1325,121,343
1463422360,2016-05-16T18:12:40Z,GWI2756,"48.05853,16.604",1125,122,344
1463422371,2016-05-16T18:12:51Z,GWI2756,"48.06472,16.60147",1000,118,343
1463422382,2016-05-16T18:13:02Z,GWI2756,"48.07105,16.59872",850,119,342
1463422393,2016-05-16T18:13:13Z,GWI2756,"48.07722,16.59602",750,119,342
1463422404,2016-05-16T18:13:24Z,GWI2756,"48.08276,16.59368",625,123,343
1463422421,2016-05-16T18:13:41Z,GWI2756,"48.09302,16.58949",450,119,343
1463422507,2016-05-16T18:15:07Z,GWI2756,"48.11209,16.57863",0,19,345
1463422522,2016-05-16T18:15:22Z,GWI2756,"48.11343,16.57805",0,21,343
1463422533,2016-05-16T18:15:33Z,GWI2756,"48.11441,16.57765",0,23,343
1463422543,2016-05-16T18:15:43Z,GWI2756,"48.11536,16.57726",0,24,343
