Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1462367640,2016-05-04T13:14:00Z,DLH6PK,"48.35907,11.79372",0,26,340
1462367646,2016-05-04T13:14:06Z,DLH6PK,"48.35926,11.79351",0,26,326
1462367670,2016-05-04T13:14:30Z,DLH6PK,"48.36029,11.79328",0,26,354
1462367724,2016-05-04T13:15:24Z,DLH6PK,"48.36053,11.78808",0,22,264
1462367781,2016-05-04T13:16:21Z,DLH6PK,"48.35984,11.77906",0,21,261
1462367787,2016-05-04T13:16:27Z,DLH6PK,"48.35979,11.77839",0,20,264
1462367839,2016-05-04T13:17:19Z,DLH6PK,"48.35952,11.77481",0,20,261
1462367848,2016-05-04T13:17:28Z,DLH6PK,"48.35943,11.77377",0,21,264
1462367854,2016-05-04T13:17:34Z,DLH6PK,"48.35936,11.77277",0,21,264
1462367860,2016-05-04T13:17:40Z,DLH6PK,"48.35928,11.77174",0,19,264
1462367866,2016-05-04T13:17:46Z,DLH6PK,"48.35924,11.77122",0,34,267
1462367872,2016-05-04T13:17:52Z,DLH6PK,"48.35935,11.77075",0,33,292
1462367878,2016-05-04T13:17:58Z,DLH6PK,"48.35963,11.77021",0,32,312
1462367884,2016-05-04T13:18:04Z,DLH6PK,"48.35994,11.76986",0,29,329
1462367890,2016-05-04T13:18:10Z,DLH6PK,"48.36016,11.76979",0,24,348
1462367896,2016-05-04T13:18:16Z,DLH6PK,"48.36037,11.76974",0,25,351
1462367902,2016-05-04T13:18:22Z,DLH6PK,"48.36062,11.7697",0,27,351
1462367911,2016-05-04T13:18:31Z,DLH6PK,"48.3612,11.7696",0,31,351
1462367917,2016-05-04T13:18:37Z,DLH6PK,"48.36162,11.76954",0,32,354
1462367923,2016-05-04T13:18:43Z,DLH6PK,"48.36195,11.76947",0,32,354
1462367944,2016-05-04T13:19:04Z,DLH6PK,"48.36295,11.76967",0,21,70
1462367950,2016-05-04T13:19:10Z,DLH6PK,"48.36295,11.7699",0,15,81
1462367989,2016-05-04T13:19:49Z,DLH6PK,"48.36214,11.76944",0,0,205
1462368016,2016-05-04T13:20:16Z,DLH6PK,"48.36314,11.7725",0,50,81
