Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1752552807,2025-07-15T04:13:27Z,CXI9BP,"35.338177,25.179005",0,0,188
1752552820,2025-07-15T04:13:40Z,CXI9BP,"35.338383,25.179047",0,3,171
1752552834,2025-07-15T04:13:54Z,CXI9BP,"35.338589,25.179005",0,3,149
1752552848,2025-07-15T04:14:08Z,CXI9BP,"35.338795,25.178833",0,3,118
1752552868,2025-07-15T04:14:28Z,CXI9BP,"35.338863,25.178633",0,1,90
1752553023,2025-07-15T04:17:03Z,CXI9BP,"35.338852,25.178833",0,3,92
1752553033,2025-07-15T04:17:13Z,CXI9BP,"35.33884,25.179062",0,4,95
1752553040,2025-07-15T04:17:20Z,CXI9BP,"35.338829,25.179262",0,5,95
1752553048,2025-07-15T04:17:28Z,CXI9BP,"35.338806,25.179562",0,7,95
1752553054,2025-07-15T04:17:34Z,CXI9BP,"35.338783,25.179848",0,8,95
1752553061,2025-07-15T04:17:41Z,CXI9BP,"35.33876,25.180149",0,8,95
1752553069,2025-07-15T04:17:49Z,CXI9BP,"35.338734,25.180489",0,8,95
1752553075,2025-07-15T04:17:55Z,CXI9BP,"35.338722,25.180752",0,7,95
1752553083,2025-07-15T04:18:03Z,CXI9BP,"35.338703,25.181036",0,7,95
1752553089,2025-07-15T04:18:09Z,CXI9BP,"35.338688,25.181278",0,6,95
1752553097,2025-07-15T04:18:17Z,CXI9BP,"35.338669,25.181507",0,6,95
1752553104,2025-07-15T04:18:24Z,CXI9BP,"35.338654,25.181746",0,6,95
1752553110,2025-07-15T04:18:30Z,CXI9BP,"35.338634,25.18198",0,6,95
1752553117,2025-07-15T04:18:37Z,CXI9BP,"35.338623,25.182251",0,7,95
1752553124,2025-07-15T04:18:44Z,CXI9BP,"35.338596,25.182564",0,8,95
1752553131,2025-07-15T04:18:51Z,CXI9BP,"35.338577,25.182924",0,9,95
1752553138,2025-07-15T04:18:58Z,CXI9BP,"35.338547,25.183308",0,10,95
1752553146,2025-07-15T04:19:06Z,CXI9BP,"35.338512,25.183805",0,12,95
1752553152,2025-07-15T04:19:12Z,CXI9BP,"35.338474,25.184254",0,13,95
1752553159,2025-07-15T04:19:19Z,CXI9BP,"35.33844,25.184799",0,14,95
1752553166,2025-07-15T04:19:26Z,CXI9BP,"35.338406,25.185356",0,14,95
1752553173,2025-07-15T04:19:33Z,CXI9BP,"35.338364,25.185938",0,15,95
1752553180,2025-07-15T04:19:40Z,CXI9BP,"35.338329,25.186522",0,15,92
1752553188,2025-07-15T04:19:48Z,CXI9BP,"35.33828,25.18718",0,15,95
1752553195,2025-07-15T04:19:55Z,CXI9BP,"35.338234,25.187759",0,15,95
1752553203,2025-07-15T04:20:03Z,CXI9BP,"35.338177,25.188408",0,15,95
1752553209,2025-07-15T04:20:09Z,CXI9BP,"35.338154,25.188904",0,13,92
1752553212,2025-07-15T04:20:12Z,CXI9BP,"35.338165,25.189104",0,13,87
1752553216,2025-07-15T04:20:16Z,CXI9BP,"35.338257,25.189386",0,13,64
1752553220,2025-07-15T04:20:20Z,CXI9BP,"35.338371,25.189648",0,14,56
1752553224,2025-07-15T04:20:24Z,CXI9BP,"35.33852,25.189905",0,14,56
1752553228,2025-07-15T04:20:28Z,CXI9BP,"35.338646,25.190147",0,11,56
1752553233,2025-07-15T04:20:33Z,CXI9BP,"35.338745,25.19038",0,10,64
1752553238,2025-07-15T04:20:38Z,CXI9BP,"35.338852,25.190613",0,9,50
1752553247,2025-07-15T04:20:47Z,CXI9BP,"35.339046,25.190363",0,7,289
1752553252,2025-07-15T04:20:52Z,CXI9BP,"35.339058,25.190163",0,7,275
1752553257,2025-07-15T04:20:57Z,CXI9BP,"35.339073,25.189913",0,10,275
1752553259,2025-07-15T04:20:59Z,CXI9BP,"35.339092,25.189705",0,15,272
1752553262,2025-07-15T04:21:02Z,CXI9BP,"35.339115,25.189247",0,29,275
1752553263,2025-07-15T04:21:03Z,CXI9BP,"35.339142,25.188932",0,33,275
1752553264,2025-07-15T04:21:04Z,CXI9BP,"35.339165,25.188684",0,38,275
1752553266,2025-07-15T04:21:06Z,CXI9BP,"35.339184,25.188316",0,42,275
1752553267,2025-07-15T04:21:07Z,CXI9BP,"35.339218,25.187845",0,51,275
1752553276,2025-07-15T04:21:16Z,CXI9BP,"35.339481,25.184229",300,85,275
1752553282,2025-07-15T04:21:22Z,CXI9BP,"35.33976,25.180256",275,112,275
1752553291,2025-07-15T04:21:31Z,CXI9BP,"35.340179,25.173855",275,140,275
1752553297,2025-07-15T04:21:37Z,CXI9BP,"35.340591,25.168076",350,157,274
1752553304,2025-07-15T04:21:44Z,CXI9BP,"35.34082,25.16201",650,156,271
1752553313,2025-07-15T04:21:53Z,CXI9BP,"35.34111,25.15501",1025,153,277
1752553315,2025-07-15T04:21:55Z,CXI9BP,"35.341415,25.152969",1125,153,281
1752553317,2025-07-15T04:21:57Z,CXI9BP,"35.341827,25.151253",1200,153,287
1752553319,2025-07-15T04:21:59Z,CXI9BP,"35.342644,25.149342",1300,152,294
1752553322,2025-07-15T04:22:02Z,CXI9BP,"35.343575,25.14753",1400,151,300
1752553324,2025-07-15T04:22:04Z,CXI9BP,"35.344509,25.146185",1500,151,306
1752553326,2025-07-15T04:22:06Z,CXI9BP,"35.34581,25.144842",1575,151,316
1752553328,2025-07-15T04:22:08Z,CXI9BP,"35.346909,25.143814",1650,151,321
1752553331,2025-07-15T04:22:11Z,CXI9BP,"35.348282,25.142727",1725,151,325
1752553333,2025-07-15T04:22:13Z,CXI9BP,"35.349766,25.141861",1800,152,333
1752553335,2025-07-15T04:22:15Z,CXI9BP,"35.351532,25.141125",1900,154,336
1752553337,2025-07-15T04:22:17Z,CXI9BP,"35.352722,25.140724",1975,152,342
1752553339,2025-07-15T04:22:19Z,CXI9BP,"35.354424,25.140224",2075,153,345
1752553342,2025-07-15T04:22:22Z,CXI9BP,"35.355911,25.139874",2175,153,347
1752553344,2025-07-15T04:22:24Z,CXI9BP,"35.357574,25.139408",2250,153,347
1752553346,2025-07-15T04:22:26Z,CXI9BP,"35.359085,25.139008",2350,153,347
1752553348,2025-07-15T04:22:28Z,CXI9BP,"35.36055,25.138664",2425,153,347
1752553351,2025-07-15T04:22:31Z,CXI9BP,"35.361969,25.138264",2475,154,347
1752553353,2025-07-15T04:22:33Z,CXI9BP,"35.363708,25.137749",2575,154,346
1752553355,2025-07-15T04:22:35Z,CXI9BP,"35.365173,25.137291",2650,154,346
1752553358,2025-07-15T04:22:38Z,CXI9BP,"35.366867,25.136776",2750,153,346
1752553360,2025-07-15T04:22:40Z,CXI9BP,"35.368343,25.136368",2850,153,346
1752553362,2025-07-15T04:22:42Z,CXI9BP,"35.370117,25.135803",2950,153,346
1752553364,2025-07-15T04:22:44Z,CXI9BP,"35.371368,25.135433",3000,153,345
1752553371,2025-07-15T04:22:51Z,CXI9BP,"35.375835,25.134031",3275,153,346
1752553379,2025-07-15T04:22:59Z,CXI9BP,"35.381927,25.132141",3625,154,345
1752553386,2025-07-15T04:23:06Z,CXI9BP,"35.386871,25.130466",3800,159,344
1752553393,2025-07-15T04:23:13Z,CXI9BP,"35.391712,25.128771",3900,170,343
1752553402,2025-07-15T04:23:22Z,CXI9BP,"35.398926,25.126141",4025,186,343
1752553408,2025-07-15T04:23:28Z,CXI9BP,"35.404175,25.124245",4175,195,343
1752553415,2025-07-15T04:23:35Z,CXI9BP,"35.410538,25.121956",4275,208,343
1752553424,2025-07-15T04:23:44Z,CXI9BP,"35.419006,25.118923",4475,219,343
1752553430,2025-07-15T04:23:50Z,CXI9BP,"35.425552,25.116577",4700,225,343
1752553439,2025-07-15T04:23:59Z,CXI9BP,"35.43425,25.113316",4900,234,342
1752553445,2025-07-15T04:24:05Z,CXI9BP,"35.441105,25.110598",5050,244,341
1752553459,2025-07-15T04:24:19Z,CXI9BP,"35.456512,25.104403",5600,250,341
1752553472,2025-07-15T04:24:32Z,CXI9BP,"35.470898,25.098969",6125,255,343
1752553485,2025-07-15T04:24:45Z,CXI9BP,"35.485981,25.093533",6650,260,343
1752553498,2025-07-15T04:24:58Z,CXI9BP,"35.501575,25.087982",7100,269,343
1752553511,2025-07-15T04:25:11Z,CXI9BP,"35.517544,25.082371",7475,278,344
1752553524,2025-07-15T04:25:24Z,CXI9BP,"35.533264,25.076809",7850,288,343
1752553537,2025-07-15T04:25:37Z,CXI9BP,"35.551014,25.070393",8325,293,343
1752553551,2025-07-15T04:25:51Z,CXI9BP,"35.569016,25.063763",8875,297,343
1752553565,2025-07-15T04:26:05Z,CXI9BP,"35.586998,25.057184",9475,297,343
1752553578,2025-07-15T04:26:18Z,CXI9BP,"35.604538,25.050774",10125,296,343
1752553591,2025-07-15T04:26:31Z,CXI9BP,"35.622192,25.044329",10575,303,343
1752553604,2025-07-15T04:26:44Z,CXI9BP,"35.639973,25.037842",10775,317,343
1752553617,2025-07-15T04:26:57Z,CXI9BP,"35.658688,25.031063",11000,332,343
1752553630,2025-07-15T04:27:10Z,CXI9BP,"35.678558,25.02388",11200,346,343
1752553643,2025-07-15T04:27:23Z,CXI9BP,"35.698929,25.013924",11425,359,333
1752553646,2025-07-15T04:27:26Z,CXI9BP,"35.702587,25.01137",11475,360,331
1752553648,2025-07-15T04:27:28Z,CXI9BP,"35.705334,25.009382",11525,361,329
1752553650,2025-07-15T04:27:30Z,CXI9BP,"35.708542,25.006714",11600,362,327
1752553652,2025-07-15T04:27:32Z,CXI9BP,"35.711197,25.004425",11650,363,325
1752553654,2025-07-15T04:27:34Z,CXI9BP,"35.71455,25.001318",11725,364,323
1752553657,2025-07-15T04:27:37Z,CXI9BP,"35.717468,24.998474",11800,365,322
1752553659,2025-07-15T04:27:39Z,CXI9BP,"35.719532,24.996292",11850,366,320
1752553661,2025-07-15T04:27:41Z,CXI9BP,"35.723053,24.992294",11975,366,317
1752553663,2025-07-15T04:27:43Z,CXI9BP,"35.725399,24.989513",12050,367,316
1752553665,2025-07-15T04:27:45Z,CXI9BP,"35.727631,24.986708",12150,367,315
1752553668,2025-07-15T04:27:48Z,CXI9BP,"35.730652,24.982967",12250,367,314
1752553670,2025-07-15T04:27:50Z,CXI9BP,"35.733265,24.979637",12325,369,314
1752553672,2025-07-15T04:27:52Z,CXI9BP,"35.736145,24.976044",12425,369,314
1752553674,2025-07-15T04:27:54Z,CXI9BP,"35.738297,24.973354",12475,371,314
1752553676,2025-07-15T04:27:56Z,CXI9BP,"35.741459,24.969469",12550,371,314
1752553678,2025-07-15T04:27:58Z,CXI9BP,"35.744019,24.966255",12625,373,314
1752553681,2025-07-15T04:28:01Z,CXI9BP,"35.746487,24.963276",12700,374,314
1752553713,2025-07-15T04:28:33Z,CXI9BP,"35.787094,24.913731",14075,377,315
1752553744,2025-07-15T04:29:04Z,CXI9BP,"35.825111,24.867554",15475,377,315
1752553777,2025-07-15T04:29:37Z,CXI9BP,"35.866592,24.817413",16650,386,315
1752553807,2025-07-15T04:30:07Z,CXI9BP,"35.906067,24.76967",17675,395,315
1752553838,2025-07-15T04:30:38Z,CXI9BP,"35.946476,24.720465",18775,399,315
1752553869,2025-07-15T04:31:09Z,CXI9BP,"35.987488,24.670326",19925,401,315
1752553902,2025-07-15T04:31:42Z,CXI9BP,"36.029942,24.618317",21100,403,315
1752553934,2025-07-15T04:32:14Z,CXI9BP,"36.072693,24.566059",22075,408,315
1752553966,2025-07-15T04:32:46Z,CXI9BP,"36.116592,24.512501",22975,414,315
1752553998,2025-07-15T04:33:18Z,CXI9BP,"36.160381,24.458721",23875,419,315
1752554031,2025-07-15T04:33:51Z,CXI9BP,"36.20549,24.403152",24725,424,315
1752554063,2025-07-15T04:34:23Z,CXI9BP,"36.245728,24.342213",25575,428,307
1752554093,2025-07-15T04:34:53Z,CXI9BP,"36.282768,24.28224",26325,431,307
1752554125,2025-07-15T04:35:25Z,CXI9BP,"36.321686,24.219477",27075,435,307
1752554156,2025-07-15T04:35:56Z,CXI9BP,"36.363815,24.162733",27700,439,315
1752554188,2025-07-15T04:36:28Z,CXI9BP,"36.409111,24.106575",28300,445,315
1752554220,2025-07-15T04:37:00Z,CXI9BP,"36.456024,24.048615",29225,441,315
1752554252,2025-07-15T04:37:32Z,CXI9BP,"36.502449,23.99151",30075,439,315
1752554282,2025-07-15T04:38:02Z,CXI9BP,"36.545601,23.93845",30775,438,315
1752554313,2025-07-15T04:38:33Z,CXI9BP,"36.590561,23.883076",31525,436,315
1752554346,2025-07-15T04:39:06Z,CXI9BP,"36.637264,23.825197",32325,434,315
1752554376,2025-07-15T04:39:36Z,CXI9BP,"36.680328,23.771667",32975,433,315
1752554409,2025-07-15T04:40:09Z,CXI9BP,"36.726288,23.714504",33600,434,315
1752554441,2025-07-15T04:40:41Z,CXI9BP,"36.773056,23.656195",34175,434,314
1752554474,2025-07-15T04:41:14Z,CXI9BP,"36.818771,23.599159",34775,434,314
1752554504,2025-07-15T04:41:44Z,CXI9BP,"36.861412,23.545971",35375,432,315
1752554536,2025-07-15T04:42:16Z,CXI9BP,"36.907654,23.488419",35900,432,315
