Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1751965458,2025-07-08T09:04:18Z,CXI83KX,"48.120552,16.556345",0,0,115
1751965680,2025-07-08T09:08:00Z,CXI83KX,"48.120934,16.556538",0,0,115
1751965687,2025-07-08T09:08:07Z,CXI83KX,"48.120552,16.556328",0,0,115
1751965961,2025-07-08T09:12:41Z,CXI83KX,"48.120609,16.556122",0,2,123
1751965977,2025-07-08T09:12:57Z,CXI83KX,"48.120689,16.555916",0,2,140
1751965999,2025-07-08T09:13:19Z,CXI83KX,"48.120861,16.55571",0,2,182
1751966022,2025-07-08T09:13:42Z,CXI83KX,"48.121078,16.555779",0,2,205
1751966252,2025-07-08T09:17:32Z,CXI83KX,"48.120861,16.555607",0,6,205
1751966260,2025-07-08T09:17:40Z,CXI83KX,"48.120655,16.555452",0,7,205
1751966270,2025-07-08T09:17:50Z,CXI83KX,"48.120335,16.555229",0,8,205
1751966278,2025-07-08T09:17:58Z,CXI83KX,"48.120026,16.555023",0,9,205
1751966286,2025-07-08T09:18:06Z,CXI83KX,"48.119728,16.5548",0,10,205
1751966293,2025-07-08T09:18:13Z,CXI83KX,"48.119408,16.554565",0,10,205
1751966299,2025-07-08T09:18:19Z,CXI83KX,"48.119152,16.55439",0,11,199
1751966305,2025-07-08T09:18:25Z,CXI83KX,"48.118858,16.554354",0,12,182
1751966311,2025-07-08T09:18:31Z,CXI83KX,"48.118546,16.554266",0,11,194
1751966323,2025-07-08T09:18:43Z,CXI83KX,"48.118103,16.554405",0,8,146
1751966328,2025-07-08T09:18:48Z,CXI83KX,"48.118,16.554653",0,8,120
1751966333,2025-07-08T09:18:53Z,CXI83KX,"48.117908,16.554937",0,9,115
1751966339,2025-07-08T09:18:59Z,CXI83KX,"48.117805,16.555246",0,9,115
1751966344,2025-07-08T09:19:04Z,CXI83KX,"48.117695,16.555569",0,11,118
1751966347,2025-07-08T09:19:07Z,CXI83KX,"48.117615,16.555798",0,12,115
1751966351,2025-07-08T09:19:11Z,CXI83KX,"48.117508,16.556156",0,14,115
1751966354,2025-07-08T09:19:14Z,CXI83KX,"48.117416,16.55645",0,0,115
1751966363,2025-07-08T09:19:23Z,CXI83KX,"48.117142,16.557306",0,15,115
1751966370,2025-07-08T09:19:30Z,CXI83KX,"48.11694,16.557928",0,15,115
1751966377,2025-07-08T09:19:37Z,CXI83KX,"48.116707,16.558628",0,15,118
1751966388,2025-07-08T09:19:48Z,CXI83KX,"48.116375,16.559624",0,14,115
1751966396,2025-07-08T09:19:56Z,CXI83KX,"48.11615,16.560322",0,14,115
1751966404,2025-07-08T09:20:04Z,CXI83KX,"48.115894,16.561062",0,14,115
1751966413,2025-07-08T09:20:13Z,CXI83KX,"48.115673,16.561766",0,14,115
1751966419,2025-07-08T09:20:19Z,CXI83KX,"48.115509,16.562294",0,13,115
1751966426,2025-07-08T09:20:26Z,CXI83KX,"48.115276,16.562988",0,15,115
1751966434,2025-07-08T09:20:34Z,CXI83KX,"48.115021,16.563791",0,18,115
1751966442,2025-07-08T09:20:42Z,CXI83KX,"48.11467,16.564865",0,21,115
1751966449,2025-07-08T09:20:49Z,CXI83KX,"48.114349,16.565838",0,21,115
1751966459,2025-07-08T09:20:59Z,CXI83KX,"48.113949,16.567074",0,19,115
1751966468,2025-07-08T09:21:08Z,CXI83KX,"48.113613,16.568123",0,18,115
1751966477,2025-07-08T09:21:17Z,CXI83KX,"48.113262,16.569197",0,18,115
1751966485,2025-07-08T09:21:25Z,CXI83KX,"48.112961,16.570112",0,19,115
1751966492,2025-07-08T09:21:32Z,CXI83KX,"48.112667,16.571005",0,19,115
1751966508,2025-07-08T09:21:48Z,CXI83KX,"48.112038,16.572945",0,20,115
