Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1754666572,2025-08-08T15:22:52Z,RYR31DX,"53.430851,-6.246336",0,0,185
1754666593,2025-08-08T15:23:13Z,RYR31DX,"53.431076,-6.246293",0,3,191
1754666609,2025-08-08T15:23:29Z,RYR31DX,"53.431286,-6.246233",0,3,196
1754666625,2025-08-08T15:23:45Z,RYR31DX,"53.431492,-6.24612",0,3,194
1754666639,2025-08-08T15:23:59Z,RYR31DX,"53.431694,-6.24603",0,3,180
1754666656,2025-08-08T15:24:16Z,RYR31DX,"53.431904,-6.24603",0,2,123
1754666823,2025-08-08T15:27:03Z,RYR31DX,"53.43195,-6.245788",0,3,98
1754666836,2025-08-08T15:27:16Z,RYR31DX,"53.431927,-6.245505",0,3,95
1754666845,2025-08-08T15:27:25Z,RYR31DX,"53.431915,-6.245304",0,3,95
1754666856,2025-08-08T15:27:36Z,RYR31DX,"53.431904,-6.245081",0,3,95
1754666863,2025-08-08T15:27:43Z,RYR31DX,"53.431889,-6.244879",0,4,95
1754666872,2025-08-08T15:27:52Z,RYR31DX,"53.431915,-6.244617",0,4,84
1754666882,2025-08-08T15:28:02Z,RYR31DX,"53.432018,-6.244354",0,5,56
1754666893,2025-08-08T15:28:13Z,RYR31DX,"53.432281,-6.244138",0,6,19
1754666902,2025-08-08T15:28:22Z,RYR31DX,"53.432522,-6.244099",0,7,5
1754666914,2025-08-08T15:28:34Z,RYR31DX,"53.432796,-6.244051",0,4,5
1754667071,2025-08-08T15:31:11Z,RYR31DX,"53.433083,-6.244001",0,5,2
1754667079,2025-08-08T15:31:19Z,RYR31DX,"53.433311,-6.244173",0,8,331
1754667085,2025-08-08T15:31:25Z,RYR31DX,"53.433426,-6.244415",0,9,303
1754667088,2025-08-08T15:31:28Z,RYR31DX,"53.433472,-6.244668",0,9,286
1754667093,2025-08-08T15:31:33Z,RYR31DX,"53.433498,-6.245",0,10,278
1754667097,2025-08-08T15:31:37Z,RYR31DX,"53.433533,-6.245203",0,10,284
1754667099,2025-08-08T15:31:39Z,RYR31DX,"53.433624,-6.245425",0,10,306
1754667106,2025-08-08T15:31:46Z,RYR31DX,"53.433937,-6.245606",0,11,351
1754667113,2025-08-08T15:31:53Z,RYR31DX,"53.434265,-6.245566",0,12,5
1754667118,2025-08-08T15:31:58Z,RYR31DX,"53.434559,-6.245532",0,11,5
1754667123,2025-08-08T15:32:03Z,RYR31DX,"53.434822,-6.245485",0,9,5
1754667130,2025-08-08T15:32:10Z,RYR31DX,"53.435051,-6.245453",0,7,5
1754667141,2025-08-08T15:32:21Z,RYR31DX,"53.435253,-6.245667",0,5,309
1754667149,2025-08-08T15:32:29Z,RYR31DX,"53.435268,-6.245944",0,4,275
1754667176,2025-08-08T15:32:56Z,RYR31DX,"53.435291,-6.246277",0,9,275
1754667183,2025-08-08T15:33:03Z,RYR31DX,"53.435417,-6.248757",0,54,275
1754667190,2025-08-08T15:33:10Z,RYR31DX,"53.435623,-6.252319",150,80,272
1754667199,2025-08-08T15:33:19Z,RYR31DX,"53.435989,-6.259068",150,117,275
1754667208,2025-08-08T15:33:28Z,RYR31DX,"53.436569,-6.268993",150,152,275
1754667216,2025-08-08T15:33:36Z,RYR31DX,"53.437225,-6.279628",400,158,276
1754667225,2025-08-08T15:33:45Z,RYR31DX,"53.437912,-6.289987",875,151,276
1754667233,2025-08-08T15:33:53Z,RYR31DX,"53.43885,-6.299851",1300,153,283
1754667238,2025-08-08T15:33:58Z,RYR31DX,"53.440014,-6.305102",1500,157,295
1754667242,2025-08-08T15:34:02Z,RYR31DX,"53.44141,-6.308737",1625,160,303
1754667245,2025-08-08T15:34:05Z,RYR31DX,"53.443134,-6.312211",1775,165,313
1754667247,2025-08-08T15:34:07Z,RYR31DX,"53.444458,-6.314392",1850,168,315
1754667250,2025-08-08T15:34:10Z,RYR31DX,"53.445602,-6.316119",1900,172,317
1754667253,2025-08-08T15:34:13Z,RYR31DX,"53.447433,-6.318865",1975,175,318
1754667256,2025-08-08T15:34:16Z,RYR31DX,"53.449696,-6.322066",2050,183,320
1754667259,2025-08-08T15:34:19Z,RYR31DX,"53.451645,-6.32475",2075,189,320
1754667262,2025-08-08T15:34:22Z,RYR31DX,"53.454353,-6.328287",2125,193,321
1754667265,2025-08-08T15:34:25Z,RYR31DX,"53.455765,-6.330087",2150,199,322
1754667267,2025-08-08T15:34:27Z,RYR31DX,"53.457191,-6.331922",2200,201,323
1754667270,2025-08-08T15:34:30Z,RYR31DX,"53.459846,-6.335315",2275,205,322
1754667273,2025-08-08T15:34:33Z,RYR31DX,"53.462593,-6.338869",2350,209,321
1754667277,2025-08-08T15:34:37Z,RYR31DX,"53.464687,-6.341696",2450,213,320
1754667283,2025-08-08T15:34:43Z,RYR31DX,"53.469955,-6.348685",2725,216,323
1754667286,2025-08-08T15:34:46Z,RYR31DX,"53.472519,-6.351432",2875,219,328
1754667290,2025-08-08T15:34:50Z,RYR31DX,"53.475769,-6.353943",3025,224,338
1754667293,2025-08-08T15:34:53Z,RYR31DX,"53.479202,-6.355591",3175,226,346
1754667296,2025-08-08T15:34:56Z,RYR31DX,"53.482315,-6.356454",3350,228,351
1754667299,2025-08-08T15:34:59Z,RYR31DX,"53.485542,-6.356884",3525,228,356
1754667303,2025-08-08T15:35:03Z,RYR31DX,"53.488335,-6.356884",3700,229,1
1754667306,2025-08-08T15:35:06Z,RYR31DX,"53.492935,-6.356297",3950,230,6
1754667309,2025-08-08T15:35:09Z,RYR31DX,"53.495865,-6.355355",4075,233,12
1754667312,2025-08-08T15:35:12Z,RYR31DX,"53.499321,-6.353571",4250,235,18
1754667315,2025-08-08T15:35:15Z,RYR31DX,"53.502411,-6.351353",4425,237,24
1754667318,2025-08-08T15:35:18Z,RYR31DX,"53.505386,-6.348685",4575,237,29
1754667322,2025-08-08T15:35:22Z,RYR31DX,"53.507996,-6.34586",4725,239,35
1754667325,2025-08-08T15:35:25Z,RYR31DX,"53.511192,-6.341616",4900,241,40
1754667328,2025-08-08T15:35:28Z,RYR31DX,"53.513474,-6.33798",5025,245,45
1754667331,2025-08-08T15:35:31Z,RYR31DX,"53.516281,-6.332598",5100,250,50
1754667334,2025-08-08T15:35:34Z,RYR31DX,"53.518295,-6.327576",5175,256,56
1754667337,2025-08-08T15:35:37Z,RYR31DX,"53.520084,-6.322066",5200,262,62
1754667341,2025-08-08T15:35:41Z,RYR31DX,"53.521362,-6.316668",5250,267,72
1754667344,2025-08-08T15:35:44Z,RYR31DX,"53.522232,-6.31039",5300,272,79
1754667347,2025-08-08T15:35:47Z,RYR31DX,"53.52269,-6.303729",5350,275,87
1754667349,2025-08-08T15:35:49Z,RYR31DX,"53.522644,-6.298155",5425,278,91
1754667352,2025-08-08T15:35:52Z,RYR31DX,"53.522232,-6.291556",5475,281,97
1754667355,2025-08-08T15:35:55Z,RYR31DX,"53.521526,-6.285149",5575,283,101
1754667358,2025-08-08T15:35:58Z,RYR31DX,"53.520584,-6.278216",5675,286,103
1754667362,2025-08-08T15:36:02Z,RYR31DX,"53.519669,-6.271859",5800,288,103
1754667365,2025-08-08T15:36:05Z,RYR31DX,"53.518753,-6.265267",5900,292,102
1754667368,2025-08-08T15:36:08Z,RYR31DX,"53.517895,-6.258733",6000,295,101
1754667371,2025-08-08T15:36:11Z,RYR31DX,"53.517059,-6.251867",6075,298,101
1754667374,2025-08-08T15:36:14Z,RYR31DX,"53.516144,-6.24408",6150,303,100
1754667377,2025-08-08T15:36:17Z,RYR31DX,"53.515457,-6.237488",6200,308,100
1754667390,2025-08-08T15:36:30Z,RYR31DX,"53.512436,-6.206177",6400,329,98
1754667405,2025-08-08T15:36:45Z,RYR31DX,"53.509094,-6.16694",6850,343,98
1754667417,2025-08-08T15:36:57Z,RYR31DX,"53.506443,-6.134329",7475,345,97
1754667433,2025-08-08T15:37:13Z,RYR31DX,"53.503006,-6.092233",8275,347,98
1754667448,2025-08-08T15:37:28Z,RYR31DX,"53.499229,-6.050316",8975,352,98
1754667463,2025-08-08T15:37:43Z,RYR31DX,"53.495544,-6.010699",9625,356,99
1754667476,2025-08-08T15:37:56Z,RYR31DX,"53.492065,-5.974993",10200,359,99
1754667491,2025-08-08T15:38:11Z,RYR31DX,"53.488129,-5.934814",10900,361,99
1754667506,2025-08-08T15:38:26Z,RYR31DX,"53.483959,-5.891742",11625,364,99
1754667519,2025-08-08T15:38:39Z,RYR31DX,"53.480392,-5.855477",12100,371,99
1754667552,2025-08-08T15:39:12Z,RYR31DX,"53.471249,-5.760067",13525,383,99
1754667585,2025-08-08T15:39:45Z,RYR31DX,"53.461533,-5.660784",15100,390,99
1754667617,2025-08-08T15:40:17Z,RYR31DX,"53.452255,-5.566837",16575,397,99
1754667650,2025-08-08T15:40:50Z,RYR31DX,"53.444668,-5.463921",18075,406,92
1754667682,2025-08-08T15:41:22Z,RYR31DX,"53.442398,-5.36329",19300,416,92
1754667713,2025-08-08T15:41:53Z,RYR31DX,"53.439968,-5.260351",20425,426,92
1754667744,2025-08-08T15:42:24Z,RYR31DX,"53.437271,-5.157689",21575,432,92
1754667775,2025-08-08T15:42:55Z,RYR31DX,"53.433975,-5.052455",22700,438,93
1754667806,2025-08-08T15:43:26Z,RYR31DX,"53.430611,-4.948614",23800,443,93
1754667837,2025-08-08T15:43:57Z,RYR31DX,"53.427071,-4.842224",24875,446,93
1754667868,2025-08-08T15:44:28Z,RYR31DX,"53.423492,-4.735657",25900,450,93
1754667899,2025-08-08T15:44:59Z,RYR31DX,"53.41967,-4.625002",26800,456,93
1754667931,2025-08-08T15:45:31Z,RYR31DX,"53.415619,-4.514735",27600,461,94
1754667962,2025-08-08T15:46:02Z,RYR31DX,"53.409012,-4.40269",28375,467,96
1754667992,2025-08-08T15:46:32Z,RYR31DX,"53.401981,-4.293069",29050,473,96
1754668024,2025-08-08T15:47:04Z,RYR31DX,"53.394653,-4.178964",29725,480,96
1754668056,2025-08-08T15:47:36Z,RYR31DX,"53.391266,-4.056466",30375,488,91
1754668087,2025-08-08T15:48:07Z,RYR31DX,"53.389645,-3.940376",30975,492,91
1754668118,2025-08-08T15:48:38Z,RYR31DX,"53.391541,-3.82081",31850,489,86
1754668151,2025-08-08T15:49:11Z,RYR31DX,"53.395386,-3.696115",32750,488,87
1754668186,2025-08-08T15:49:46Z,RYR31DX,"53.398865,-3.567888",33500,488,87
1754668217,2025-08-08T15:50:17Z,RYR31DX,"53.402119,-3.450353",34100,490,87
1754668250,2025-08-08T15:50:50Z,RYR31DX,"53.405563,-3.323687",34800,489,87
1754668281,2025-08-08T15:51:21Z,RYR31DX,"53.408638,-3.207846",35400,487,87
1754668314,2025-08-08T15:51:54Z,RYR31DX,"53.412128,-3.084412",35950,488,87
1754668345,2025-08-08T15:52:25Z,RYR31DX,"53.41534,-2.96744",36500,487,87
1754668376,2025-08-08T15:52:56Z,RYR31DX,"53.418777,-2.850874",37000,485,87
1754668410,2025-08-08T15:53:30Z,RYR31DX,"53.422119,-2.723354",37000,483,90
1754668426,2025-08-08T15:53:46Z,RYR31DX,"53.419647,-2.664106",37000,481,96
1754668429,2025-08-08T15:53:49Z,RYR31DX,"53.418785,-2.652875",37000,482,97
1754668432,2025-08-08T15:53:52Z,RYR31DX,"53.417908,-2.643154",37000,480,98
1754668435,2025-08-08T15:53:55Z,RYR31DX,"53.416782,-2.631387",37000,480,99
1754668466,2025-08-08T15:54:26Z,RYR31DX,"53.405937,-2.518373",37000,481,99
1754668497,2025-08-08T15:54:57Z,RYR31DX,"53.394653,-2.404279",37000,480,99
1754668530,2025-08-08T15:55:30Z,RYR31DX,"53.382149,-2.28249",37000,480,99
1754668564,2025-08-08T15:56:04Z,RYR31DX,"53.369392,-2.159945",37000,480,99
1754668597,2025-08-08T15:56:37Z,RYR31DX,"53.356979,-2.040318",37000,479,99
1754668628,2025-08-08T15:57:08Z,RYR31DX,"53.345261,-1.925903",37000,479,99
1754668659,2025-08-08T15:57:39Z,RYR31DX,"53.333725,-1.81345",37000,480,99
1754668690,2025-08-08T15:58:10Z,RYR31DX,"53.322052,-1.700215",37000,482,99
1754668721,2025-08-08T15:58:41Z,RYR31DX,"53.310059,-1.58517",37000,482,99
1754668752,2025-08-08T15:59:12Z,RYR31DX,"53.298214,-1.472572",37000,484,99
1754668783,2025-08-08T15:59:43Z,RYR31DX,"53.286301,-1.360343",37000,484,100
1754668817,2025-08-08T16:00:17Z,RYR31DX,"53.272797,-1.236123",37000,486,100
1754668847,2025-08-08T16:00:47Z,RYR31DX,"53.260368,-1.122302",37000,486,100
1754668879,2025-08-08T16:01:19Z,RYR31DX,"53.247753,-1.006218",37000,486,100
1754668909,2025-08-08T16:01:49Z,RYR31DX,"53.235325,-0.893043",37000,487,100
1754668940,2025-08-08T16:02:20Z,RYR31DX,"53.222763,-0.7805",37000,487,100
1754668971,2025-08-08T16:02:51Z,RYR31DX,"53.210091,-0.668146",37000,488,100
1754669005,2025-08-08T16:03:25Z,RYR31DX,"53.195988,-0.543177",37000,488,100
1754669042,2025-08-08T16:04:02Z,RYR31DX,"53.180298,-0.406252",37000,489,100
1754669076,2025-08-08T16:04:36Z,RYR31DX,"53.16568,-0.279909",37000,491,100
1754669110,2025-08-08T16:05:10Z,RYR31DX,"53.151031,-0.154907",37000,494,101
1754669144,2025-08-08T16:05:44Z,RYR31DX,"53.136215,-0.028839",37000,494,101
1754669175,2025-08-08T16:06:15Z,RYR31DX,"53.122284,0.086792",37000,494,101
1754669205,2025-08-08T16:06:45Z,RYR31DX,"53.108368,0.201599",37000,493,101
1754669240,2025-08-08T16:07:20Z,RYR31DX,"53.092941,0.328217",37000,490,101
1754669271,2025-08-08T16:07:51Z,RYR31DX,"53.079025,0.441742",37000,490,101
1754669301,2025-08-08T16:08:21Z,RYR31DX,"53.065083,0.552298",37000,490,101
1754669332,2025-08-08T16:08:52Z,RYR31DX,"53.050278,0.670166",37000,491,101
