Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1753249846,2025-07-23T05:50:46Z,RYR36LZ,"48.120991,16.553192",0,0,295
1753250037,2025-07-23T05:53:57Z,RYR36LZ,"48.121124,16.552809",0,6,295
1753250044,2025-07-23T05:54:04Z,RYR36LZ,"48.12109,16.552586",0,6,253
1753250055,2025-07-23T05:54:15Z,RYR36LZ,"48.120838,16.552362",0,6,208
1753250063,2025-07-23T05:54:23Z,RYR36LZ,"48.120609,16.552191",0,7,205
1753250070,2025-07-23T05:54:30Z,RYR36LZ,"48.120384,16.552031",0,8,205
1753250076,2025-07-23T05:54:36Z,RYR36LZ,"48.120174,16.551882",0,9,205
1753250082,2025-07-23T05:54:42Z,RYR36LZ,"48.119923,16.551762",0,10,188
1753250086,2025-07-23T05:54:46Z,RYR36LZ,"48.119705,16.55183",0,11,165
1753250092,2025-07-23T05:54:52Z,RYR36LZ,"48.119396,16.551916",0,10,174
1753250100,2025-07-23T05:55:00Z,RYR36LZ,"48.118999,16.551943",0,11,168
1753250106,2025-07-23T05:55:06Z,RYR36LZ,"48.118767,16.552242",0,14,126
1753250109,2025-07-23T05:55:09Z,RYR36LZ,"48.118652,16.552593",0,16,115
1753250113,2025-07-23T05:55:13Z,RYR36LZ,"48.118534,16.552963",0,18,115
1753250121,2025-07-23T05:55:21Z,RYR36LZ,"48.118195,16.554045",0,23,118
1753250123,2025-07-23T05:55:23Z,RYR36LZ,"48.118114,16.554283",0,24,118
1753250124,2025-07-23T05:55:24Z,RYR36LZ,"48.118011,16.554577",0,25,115
1753250128,2025-07-23T05:55:28Z,RYR36LZ,"48.117851,16.555075",0,26,115
1753250131,2025-07-23T05:55:31Z,RYR36LZ,"48.117661,16.555676",0,27,115
1753250132,2025-07-23T05:55:32Z,RYR36LZ,"48.117588,16.555933",0,28,115
1753250134,2025-07-23T05:55:34Z,RYR36LZ,"48.117474,16.556273",0,29,118
1753250141,2025-07-23T05:55:41Z,RYR36LZ,"48.11705,16.557547",0,28,118
1753250153,2025-07-23T05:55:53Z,RYR36LZ,"48.116375,16.559641",0,26,115
1753250165,2025-07-23T05:56:05Z,RYR36LZ,"48.115753,16.56152",0,26,115
1753250173,2025-07-23T05:56:13Z,RYR36LZ,"48.115391,16.562664",0,25,115
1753250181,2025-07-23T05:56:21Z,RYR36LZ,"48.11499,16.563881",0,27,118
1753250190,2025-07-23T05:56:30Z,RYR36LZ,"48.114403,16.565693",0,0,115
1753250202,2025-07-23T05:56:42Z,RYR36LZ,"48.113728,16.567753",0,25,115
1753250212,2025-07-23T05:56:52Z,RYR36LZ,"48.113239,16.569214",0,24,115
1753250220,2025-07-23T05:57:00Z,RYR36LZ,"48.112843,16.570446",0,24,115
1753250228,2025-07-23T05:57:08Z,RYR36LZ,"48.112438,16.571674",0,23,115
1753250235,2025-07-23T05:57:15Z,RYR36LZ,"48.11211,16.572735",0,23,115
1753250242,2025-07-23T05:57:22Z,RYR36LZ,"48.111774,16.573738",0,23,115
1753250253,2025-07-23T05:57:33Z,RYR36LZ,"48.111259,16.575314",0,22,115
1753250257,2025-07-23T05:57:37Z,RYR36LZ,"48.111099,16.575781",0,19,118
1753250259,2025-07-23T05:57:39Z,RYR36LZ,"48.111019,16.576",0,16,118
1753250265,2025-07-23T05:57:45Z,RYR36LZ,"48.110779,16.576447",0,13,143
1753250270,2025-07-23T05:57:50Z,RYR36LZ,"48.110481,16.576481",0,12,185
1753250275,2025-07-23T05:57:55Z,RYR36LZ,"48.110241,16.576326",0,12,205
1753250282,2025-07-23T05:58:02Z,RYR36LZ,"48.109863,16.576046",0,12,208
1753250292,2025-07-23T05:58:12Z,RYR36LZ,"48.109417,16.575485",0,15,236
1753250296,2025-07-23T05:58:16Z,RYR36LZ,"48.109337,16.575056",0,15,264
1753250299,2025-07-23T05:58:19Z,RYR36LZ,"48.109364,16.574707",0,16,281
1753250302,2025-07-23T05:58:22Z,RYR36LZ,"48.109474,16.574352",0,18,295
1753250304,2025-07-23T05:58:24Z,RYR36LZ,"48.109554,16.574095",0,19,295
1753250308,2025-07-23T05:58:28Z,RYR36LZ,"48.109703,16.573631",0,23,295
1753250309,2025-07-23T05:58:29Z,RYR36LZ,"48.109783,16.573368",0,27,298
1753250310,2025-07-23T05:58:30Z,RYR36LZ,"48.109875,16.573116",0,37,298
1753250314,2025-07-23T05:58:34Z,RYR36LZ,"48.110184,16.572172",0,51,295
1753250315,2025-07-23T05:58:35Z,RYR36LZ,"48.110374,16.571573",0,61,295
1753250317,2025-07-23T05:58:37Z,RYR36LZ,"48.110584,16.57094",0,65,295
1753250319,2025-07-23T05:58:39Z,RYR36LZ,"48.110939,16.56982",0,78,295
1753250323,2025-07-23T05:58:43Z,RYR36LZ,"48.111671,16.567572",0,96,295
1753250331,2025-07-23T05:58:51Z,RYR36LZ,"48.113159,16.563057",550,116,295
1753250344,2025-07-23T05:59:04Z,RYR36LZ,"48.117229,16.55055",525,132,295
1753250350,2025-07-23T05:59:10Z,RYR36LZ,"48.119522,16.543144",750,171,294
1753250359,2025-07-23T05:59:19Z,RYR36LZ,"48.122086,16.534424",1075,171,292
1753250361,2025-07-23T05:59:21Z,RYR36LZ,"48.122818,16.531609",1200,172,290
1753250363,2025-07-23T05:59:23Z,RYR36LZ,"48.123283,16.529354",1300,171,286
1753250365,2025-07-23T05:59:25Z,RYR36LZ,"48.123562,16.52717",1400,171,281
1753250367,2025-07-23T05:59:27Z,RYR36LZ,"48.123795,16.524916",1475,170,276
1753250369,2025-07-23T05:59:29Z,RYR36LZ,"48.123886,16.522099",1600,170,272
1753250372,2025-07-23T05:59:32Z,RYR36LZ,"48.12384,16.519564",1700,170,268
1753250374,2025-07-23T05:59:34Z,RYR36LZ,"48.123653,16.516888",1800,170,262
1753250376,2025-07-23T05:59:36Z,RYR36LZ,"48.123413,16.514442",1875,172,259
1753250378,2025-07-23T05:59:38Z,RYR36LZ,"48.123047,16.512039",1925,176,257
1753250380,2025-07-23T05:59:40Z,RYR36LZ,"48.12254,16.50893",2000,178,255
1753250382,2025-07-23T05:59:42Z,RYR36LZ,"48.122086,16.506615",2050,180,254
1753250384,2025-07-23T05:59:44Z,RYR36LZ,"48.121609,16.504141",2100,186,252
1753250387,2025-07-23T05:59:47Z,RYR36LZ,"48.121078,16.501671",2150,186,252
1753250389,2025-07-23T05:59:49Z,RYR36LZ,"48.120483,16.499062",2200,191,251
1753250391,2025-07-23T05:59:51Z,RYR36LZ,"48.119751,16.495766",2250,193,251
1753250393,2025-07-23T05:59:53Z,RYR36LZ,"48.119232,16.493366",2300,195,251
1753250395,2025-07-23T05:59:55Z,RYR36LZ,"48.118607,16.490341",2350,197,252
1753250397,2025-07-23T05:59:57Z,RYR36LZ,"48.118057,16.487595",2425,200,253
1753250399,2025-07-23T05:59:59Z,RYR36LZ,"48.117691,16.485535",2450,200,254
1753250402,2025-07-23T06:00:02Z,RYR36LZ,"48.117138,16.482168",2525,203,257
1753250408,2025-07-23T06:00:08Z,RYR36LZ,"48.116207,16.473225",2700,210,263
1753250410,2025-07-23T06:00:10Z,RYR36LZ,"48.115997,16.469742",2775,211,266
1753250412,2025-07-23T06:00:12Z,RYR36LZ,"48.115974,16.466816",2850,211,268
1753250414,2025-07-23T06:00:14Z,RYR36LZ,"48.115974,16.464069",2950,212,270
1753250416,2025-07-23T06:00:16Z,RYR36LZ,"48.116089,16.460609",3075,211,272
1753250418,2025-07-23T06:00:18Z,RYR36LZ,"48.116226,16.457726",3175,210,274
1753250420,2025-07-23T06:00:20Z,RYR36LZ,"48.116394,16.455477",3250,209,277
1753250422,2025-07-23T06:00:22Z,RYR36LZ,"48.116718,16.452026",3400,209,278
1753250424,2025-07-23T06:00:24Z,RYR36LZ,"48.117046,16.449139",3500,209,278
1753250427,2025-07-23T06:00:27Z,RYR36LZ,"48.117325,16.446251",3600,209,279
1753250429,2025-07-23T06:00:29Z,RYR36LZ,"48.117691,16.443031",3700,209,279
1753250431,2025-07-23T06:00:31Z,RYR36LZ,"48.118057,16.439941",3825,210,279
1753250433,2025-07-23T06:00:33Z,RYR36LZ,"48.118423,16.436783",3925,211,279
1753250435,2025-07-23T06:00:35Z,RYR36LZ,"48.118744,16.434036",4000,211,279
1753250437,2025-07-23T06:00:37Z,RYR36LZ,"48.119064,16.431015",4125,212,279
1753250439,2025-07-23T06:00:39Z,RYR36LZ,"48.119373,16.428364",4225,210,279
1753250441,2025-07-23T06:00:41Z,RYR36LZ,"48.119698,16.425406",4325,210,278
1753250443,2025-07-23T06:00:43Z,RYR36LZ,"48.119976,16.422518",4450,210,278
1753250445,2025-07-23T06:00:45Z,RYR36LZ,"48.120304,16.419559",4525,211,278
1753250454,2025-07-23T06:00:54Z,RYR36LZ,"48.121674,16.407188",4850,218,280
1753250460,2025-07-23T06:01:00Z,RYR36LZ,"48.12291,16.397377",5000,226,280
1753250475,2025-07-23T06:01:15Z,RYR36LZ,"48.125797,16.373362",5325,247,279
1753250490,2025-07-23T06:01:30Z,RYR36LZ,"48.128586,16.348549",5975,252,279
1753250502,2025-07-23T06:01:42Z,RYR36LZ,"48.13092,16.326714",6625,253,279
1753250515,2025-07-23T06:01:55Z,RYR36LZ,"48.133347,16.304878",7250,255,279
1753250530,2025-07-23T06:02:10Z,RYR36LZ,"48.13623,16.278648",7800,266,278
1753250542,2025-07-23T06:02:22Z,RYR36LZ,"48.138737,16.254414",8025,282,278
1753250555,2025-07-23T06:02:35Z,RYR36LZ,"48.142555,16.230469",8225,298,289
1753250557,2025-07-23T06:02:37Z,RYR36LZ,"48.143921,16.225639",8275,304,294
1753250559,2025-07-23T06:02:39Z,RYR36LZ,"48.145115,16.221947",8325,307,297
1753250561,2025-07-23T06:02:41Z,RYR36LZ,"48.146511,16.218285",8350,310,300
1753250563,2025-07-23T06:02:43Z,RYR36LZ,"48.148544,16.213692",8400,313,303
1753250565,2025-07-23T06:02:45Z,RYR36LZ,"48.150375,16.209915",8425,317,306
1753250567,2025-07-23T06:02:47Z,RYR36LZ,"48.152161,16.206619",8475,322,310
1753250570,2025-07-23T06:02:50Z,RYR36LZ,"48.154083,16.203461",8500,325,313
1753250572,2025-07-23T06:02:52Z,RYR36LZ,"48.156197,16.200256",8525,329,316
1753250574,2025-07-23T06:02:54Z,RYR36LZ,"48.158615,16.197086",8550,332,319
1753250576,2025-07-23T06:02:56Z,RYR36LZ,"48.161129,16.194138",8600,335,323
1753250578,2025-07-23T06:02:58Z,RYR36LZ,"48.164436,16.190741",8675,338,326
1753250580,2025-07-23T06:03:00Z,RYR36LZ,"48.16732,16.188137",8725,341,329
1753250582,2025-07-23T06:03:02Z,RYR36LZ,"48.170197,16.18589",8800,342,332
1753250584,2025-07-23T06:03:04Z,RYR36LZ,"48.173172,16.183706",8900,343,334
1753250586,2025-07-23T06:03:06Z,RYR36LZ,"48.176121,16.181705",9000,344,336
1753250589,2025-07-23T06:03:09Z,RYR36LZ,"48.179352,16.179623",9100,346,336
1753250591,2025-07-23T06:03:11Z,RYR36LZ,"48.181847,16.177946",9175,345,336
1753250593,2025-07-23T06:03:13Z,RYR36LZ,"48.184963,16.17585",9275,346,335
1753250595,2025-07-23T06:03:15Z,RYR36LZ,"48.18837,16.173565",9375,346,335
1753250597,2025-07-23T06:03:17Z,RYR36LZ,"48.190784,16.171875",9450,346,335
1753250599,2025-07-23T06:03:19Z,RYR36LZ,"48.194275,16.169418",9550,346,334
1753250601,2025-07-23T06:03:21Z,RYR36LZ,"48.197113,16.167465",9650,347,334
1753250603,2025-07-23T06:03:23Z,RYR36LZ,"48.199814,16.165586",9725,347,334
1753250605,2025-07-23T06:03:25Z,RYR36LZ,"48.203613,16.162861",9850,348,334
