Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1473070407,2016-09-05T10:13:27Z,NLY534H,"48.118114,16.55747",0,11,78
1473070422,2016-09-05T10:13:42Z,NLY534H,"48.118069,16.55722",0,9,112
1473070521,2016-09-05T10:15:21Z,NLY534H,"48.117966,16.557541",0,21,115
1473070527,2016-09-05T10:15:27Z,NLY534H,"48.11768,16.557873",0,25,154
1473070533,2016-09-05T10:15:33Z,NLY534H,"48.117405,16.557838",0,26,185
1473070539,2016-09-05T10:15:39Z,NLY534H,"48.117126,16.557858",0,26,171
1473070545,2016-09-05T10:15:45Z,NLY534H,"48.116894,16.558086",0,26,143
1473070551,2016-09-05T10:15:51Z,NLY534H,"48.116707,16.558577",0,32,118
1473070557,2016-09-05T10:15:57Z,NLY534H,"48.116531,16.559109",0,15,115
1473070569,2016-09-05T10:16:09Z,NLY534H,"48.1161,16.560413",0,17,115
1473070575,2016-09-05T10:16:15Z,NLY534H,"48.115952,16.56086",0,18,115
1473070584,2016-09-05T10:16:24Z,NLY534H,"48.115612,16.561907",0,18,115
1473070597,2016-09-05T10:16:37Z,NLY534H,"48.115009,16.563755",0,23,115
1473070603,2016-09-05T10:16:43Z,NLY534H,"48.114704,16.56469",0,25,115
1473070609,2016-09-05T10:16:49Z,NLY534H,"48.114391,16.565657",0,26,115
1473070615,2016-09-05T10:16:55Z,NLY534H,"48.114079,16.566608",0,25,115
1473070621,2016-09-05T10:17:01Z,NLY534H,"48.113785,16.567524",0,25,115
1473070627,2016-09-05T10:17:07Z,NLY534H,"48.113491,16.56843",0,25,115
1473070636,2016-09-05T10:17:16Z,NLY534H,"48.113018,16.569866",0,25,115
1473070654,2016-09-05T10:17:34Z,NLY534H,"48.112274,16.572136",0,30,118
1473070660,2016-09-05T10:17:40Z,NLY534H,"48.111912,16.572412",0,30,165
1473070666,2016-09-05T10:17:46Z,NLY534H,"48.111603,16.572224",0,31,205
1473070672,2016-09-05T10:17:52Z,NLY534H,"48.111248,16.571966",0,32,205
1473070678,2016-09-05T10:17:58Z,NLY534H,"48.110916,16.571709",0,30,205
1473070687,2016-09-05T10:18:07Z,NLY534H,"48.110584,16.571449",0,29,213
1473070693,2016-09-05T10:18:13Z,NLY534H,"48.11055,16.570992",0,27,272
